Task Set,Task ID,Successes x/6,Avg Steps,Avg Discounted Return
Avoid 2,A2_1,6,2.6666666666666665,0.9671306666666667
Avoid 2,A2_2,5,4.8,0.7719669589333332
Avoid 2,A2_3,6,3.8333333333333335,0.9444573599999999
Avoid 2,A2_4,6,4.5,0.9322872229439998
Avoid 2,A2_5,5,6.8,0.7413970673595732
Avoid 2,A2_6,6,3.6666666666666665,0.9477240266666667
Avoid 3,A3_1,5,4.8,0.7719669589333332
Avoid 3,A3_2,3,3.0,0.4802653333333333
Avoid 3,A3_3,6,5.0,0.9226204250666665
Avoid 3,A3_4,4,3.25,0.6371306666666666
Avoid 4,A4_1,3,2.0,0.49006666666666665
Avoid 4,A4_2,5,5.8,0.7565276197546665
