method,task,seed,success_rate,mean_steps
DeepLTL,F (green & (!blue U yellow)) & F magenta,1,0.98,301.930612244898
DeepLTL,F (green & (!blue U yellow)) & F magenta,2,0.9,295.16
DeepLTL,F (green & (!blue U yellow)) & F magenta,3,0.954,301.1719077568134
DeepLTL,F (green & (!blue U yellow)) & F magenta,4,0.838,283.20047732696895
DeepLTL,F (green & (!blue U yellow)) & F magenta,5,0.936,335.4508547008547
DeepLTL,(F blue) & (!blue U (green & F yellow)),1,0.944,293.510593220339
DeepLTL,(F blue) & (!blue U (green & F yellow)),2,0.892,301.3161434977578
DeepLTL,(F blue) & (!blue U (green & F yellow)),3,0.934,301.0642398286938
DeepLTL,(F blue) & (!blue U (green & F yellow)),4,0.884,289.5633484162896
DeepLTL,(F blue) & (!blue U (green & F yellow)),5,0.906,314.317880794702
DeepLTL,F (blue | green) & F yellow & F magenta,1,0.968,253.8801652892562
DeepLTL,F (blue | green) & F yellow & F magenta,2,0.898,252.6815144766147
DeepLTL,F (blue | green) & F yellow & F magenta,3,0.992,273.02620967741933
DeepLTL,F (blue | green) & F yellow & F magenta,4,0.962,259.5738045738046
DeepLTL,F (blue | green) & F yellow & F magenta,5,0.992,259.57862903225805
DeepLTL,!(magenta | yellow) U (blue & F green),1,0.902,186.7960088691796
DeepLTL,!(magenta | yellow) U (blue & F green),2,0.866,196.72517321016167
DeepLTL,!(magenta | yellow) U (blue & F green),3,0.884,226.15837104072398
DeepLTL,!(magenta | yellow) U (blue & F green),4,0.926,198.1598272138229
DeepLTL,!(magenta | yellow) U (blue & F green),5,0.926,208.94600431965443
DeepLTL,!green U ((blue | magenta) & (!green U yellow)),1,0.932,178.71244635193133
DeepLTL,!green U ((blue | magenta) & (!green U yellow)),2,0.906,191.09271523178808
DeepLTL,!green U ((blue | magenta) & (!green U yellow)),3,0.934,196.72805139186295
DeepLTL,!green U ((blue | magenta) & (!green U yellow)),4,0.904,173.18805309734512
DeepLTL,!green U ((blue | magenta) & (!green U yellow)),5,0.886,195.93227990970655
DeepLTL,((green | blue) => (!yellow U magenta)) U yellow,1,0.978,112.14723926380368
DeepLTL,((green | blue) => (!yellow U magenta)) U yellow,2,0.98,102.45102040816326
DeepLTL,((green | blue) => (!yellow U magenta)) U yellow,3,0.988,111.10323886639677
DeepLTL,((green | blue) => (!yellow U magenta)) U yellow,4,0.968,94.00619834710744
DeepLTL,((green | blue) => (!yellow U magenta)) U yellow,5,0.976,111.3360655737705
LTL2Action,F (green & (!blue U yellow)) & F magenta,1,0.61,438.3934426
LTL2Action,F (green & (!blue U yellow)) & F magenta,2,0.68,416.6735294
LTL2Action,F (green & (!blue U yellow)) & F magenta,3,0.584,437.0753425
LTL2Action,F (green & (!blue U yellow)) & F magenta,4,0.82,402.5682927
LTL2Action,F (green & (!blue U yellow)) & F magenta,5,0.282,425.6241135
GCRL-LTL,F (green & (!blue U yellow)) & F magenta,1,0.834,465.2781775
GCRL-LTL,F (green & (!blue U yellow)) & F magenta,2,0.878,432.3439636
GCRL-LTL,F (green & (!blue U yellow)) & F magenta,3,0.86,443.7395349
GCRL-LTL,F (green & (!blue U yellow)) & F magenta,4,0.872,449.2958716
GCRL-LTL,F (green & (!blue U yellow)) & F magenta,5,0.816,470.2720588
GCRL-LTL,(F blue) & (!blue U (green & F yellow)),1,0.772,451.3419689
GCRL-LTL,(F blue) & (!blue U (green & F yellow)),2,0.91,451.4461538
GCRL-LTL,(F blue) & (!blue U (green & F yellow)),3,0.87,453.2413793
GCRL-LTL,(F blue) & (!blue U (green & F yellow)),4,0.856,443.2523364
GCRL-LTL,(F blue) & (!blue U (green & F yellow)),5,0.826,456.6029056
LTL2Action,(F blue) & (!blue U (green & F yellow)),1,0.462,431.8787879
LTL2Action,(F blue) & (!blue U (green & F yellow)),2,0.098,368.6326531
LTL2Action,(F blue) & (!blue U (green & F yellow)),3,0.064,511.21875
LTL2Action,(F blue) & (!blue U (green & F yellow)),4,0.038,339.8421053
LTL2Action,(F blue) & (!blue U (green & F yellow)),5,0.05,432.32
GCRL-LTL,F (blue | green) & F yellow & F magenta,1,0.85,471.1176471
GCRL-LTL,F (blue | green) & F yellow & F magenta,2,0.928,428.2284483
GCRL-LTL,F (blue | green) & F yellow & F magenta,3,0.92,448.623913
GCRL-LTL,F (blue | green) & F yellow & F magenta,4,0.912,440.0153509
GCRL-LTL,F (blue | green) & F yellow & F magenta,5,0.848,460.4976415
LTL2Action,F (blue | green) & F yellow & F magenta,1,0.864,387.9467593
LTL2Action,F (blue | green) & F yellow & F magenta,2,0.268,388.4328358
LTL2Action,F (blue | green) & F yellow & F magenta,3,0.924,337.8441558
LTL2Action,F (blue | green) & F yellow & F magenta,4,0.672,439.264881
LTL2Action,F (blue | green) & F yellow & F magenta,5,0.608,518.9342105
GCRL-LTL,!(magenta | yellow) U (blue & F green),1,0.83,295.260241
GCRL-LTL,!(magenta | yellow) U (blue & F green),2,0.88,311.3295455
GCRL-LTL,!(magenta | yellow) U (blue & F green),3,0.882,301.3038549
GCRL-LTL,!(magenta | yellow) U (blue & F green),4,0.888,304.9954955
GCRL-LTL,!(magenta | yellow) U (blue & F green),5,0.882,302.7460317
LTL2Action,!(magenta | yellow) U (blue & F green),1,0.718,403.6072423
LTL2Action,!(magenta | yellow) U (blue & F green),2,0.3,316.46
LTL2Action,!(magenta | yellow) U (blue & F green),3,0.774,312.0155039
LTL2Action,!(magenta | yellow) U (blue & F green),4,0.814,326.1400491
LTL2Action,!(magenta | yellow) U (blue & F green),5,0.842,299.5106888
GCRL-LTL,!green U ((blue | magenta) & (!green U yellow)),1,0.828,317.5845411
GCRL-LTL,!green U ((blue | magenta) & (!green U yellow)),2,0.88,273.4568182
GCRL-LTL,!green U ((blue | magenta) & (!green U yellow)),3,0.836,277.2129187
GCRL-LTL,!green U ((blue | magenta) & (!green U yellow)),4,0.87,292.4597701
GCRL-LTL,!green U ((blue | magenta) & (!green U yellow)),5,0.842,292.9168646
LTL2Action,!green U ((blue | magenta) & (!green U yellow)),1,0.856,251.1051402
LTL2Action,!green U ((blue | magenta) & (!green U yellow)),2,0.486,254.0493827
LTL2Action,!green U ((blue | magenta) & (!green U yellow)),3,0.874,236.4050343
LTL2Action,!green U ((blue | magenta) & (!green U yellow)),4,0.602,374.179402
LTL2Action,!green U ((blue | magenta) & (!green U yellow)),5,0.48,350.35
GCRL-LTL,((green | blue) => (!yellow U magenta)) U yellow,1,0.888,144.5382883
GCRL-LTL,((green | blue) => (!yellow U magenta)) U yellow,2,0.91,125.1846154
GCRL-LTL,((green | blue) => (!yellow U magenta)) U yellow,3,0.898,138.3719376
GCRL-LTL,((green | blue) => (!yellow U magenta)) U yellow,4,0.898,133.766147
GCRL-LTL,((green | blue) => (!yellow U magenta)) U yellow,5,0.878,145.2255125
LTL2Action,((green | blue) => (!yellow U magenta)) U yellow,1,0.812,117.3374384
LTL2Action,((green | blue) => (!yellow U magenta)) U yellow,2,0.978,118.4805726
LTL2Action,((green | blue) => (!yellow U magenta)) U yellow,3,0.918,122.6514161
LTL2Action,((green | blue) => (!yellow U magenta)) U yellow,4,0.978,135.601227
LTL2Action,((green | blue) => (!yellow U magenta)) U yellow,5,0.962,125.3742204
