Task Set,Task ID,Successes x/6,Avg Steps,Avg Discounted Return
Avoid 2,A2_1,6,2.6666666666666665,0.9671306666666667
Avoid 2,A2_2,5,4.8,0.7719669589333332
Avoid 2,A2_3,6,3.8333333333333335,0.9444573599999999
Avoid 2,A2_4,6,4.5,0.9322872229439998
Avoid 2,A2_5,5,6.8,0.7413970673595732
Avoid 2,A2_6,6,3.6666666666666665,0.9477240266666667
Avoid 3,A3_1,5,4.8,0.7719669589333332
Avoid 3,A3_2,3,3.0,0.4802653333333333
Avoid 3,A3_3,6,5.0,0.9226204250666665
Avoid 3,A3_4,4,3.25,0.6371306666666666
Avoid 4,A4_1,3,2.0,0.49006666666666665
Avoid 4,A4_2,5,5.8,0.7565276197546665
Reach 2,R2_1,6,3.5,0.950796
Reach 2,R2_2,6,3.0,0.9605306666666666
Reach 2,R2_3,6,3.5,0.950796
Reach 2,R2_4,6,4.0,0.9412560266666666
Reach 3,R3_1,6,4.5,0.9322218896106665
Reach 3,R3_2,6,3.8333333333333335,0.9444573599999999
Avoid Easy,AE_1,6,2.0,0.9801333333333334
Avoid Easy,AE_2,4,3.5,0.63399336
Avoid Easy,AE_4,6,1.3333333333333333,0.9933333333333333
Avoid Easy,AE_5,5,4.8,0.7719669589333332
Avoid Easy,AE_6,6,3.6666666666666665,0.9477240266666667
Avoid Easy,AE_7,0,,0.0
Avoid Easy,AE_8,6,2.6666666666666665,0.9671306666666667
Avoid Easy,AE_9,6,2.6666666666666665,0.9671306666666667
