Task Set,Task ID,Successes x/6,Avg Steps,Avg Discounted Return
Avoid 2,A2_1,6,2.6666666666666665,0.9671306666666667
Avoid 2,A2_2,4,4.5,0.6213134927999999
Avoid 2,A2_3,6,4.0,0.9413200533333334
Avoid 2,A2_4,6,4.5,0.9322872229439998
Avoid 2,A2_5,5,6.8,0.7413970673595732
Avoid 2,A2_6,6,4.0,0.9415121594666666
Avoid 3,A3_1,5,5.0,0.7689538896106666
Avoid 3,A3_2,3,3.0,0.4802653333333333
Avoid 3,A3_3,6,5.166666666666667,0.9196073557439998
Avoid 3,A3_4,4,3.25,0.6371306666666666
Avoid 4,A4_1,3,2.0,0.49006666666666665
Avoid 4,A4_2,1,4.0,0.15686533333333333
Reach 2,R2_1,6,3.1666666666666665,0.9571986666666666
Reach 2,R2_2,6,3.0,0.9605306666666666
Reach 2,R2_3,6,3.1666666666666665,0.9571986666666666
Reach 2,R2_4,6,3.0,0.9604653333333332
Reach 3,R3_1,6,3.1666666666666665,0.9571986666666666
Reach 3,R3_2,6,3.1666666666666665,0.9571986666666666
