Task Set,Task ID,Successes x/6,Avg Steps,Avg Discounted Return
Avoid 2,A2_1,6,2.5,0.970332
Avoid 2,A2_2,6,5.166666666666667,0.9196073557439998
Avoid 2,A2_3,6,4.0,0.9413200533333334
Avoid 2,A2_4,6,4.166666666666667,0.9383748527999999
Avoid 2,A2_5,0,,0.0
Avoid 2,A2_6,6,2.5,0.9701999999999998
Avoid 3,A3_1,0,,0.0
Avoid 3,A3_2,1,2.0,0.16333333333333333
Avoid 3,A3_3,0,,0.0
Avoid 3,A3_4,1,2.0,0.16333333333333333
Avoid 4,A4_1,3,2.0,0.49006666666666665
Avoid 4,A4_2,0,,0.0
Reach 2,R2_1,6,2.6666666666666665,0.9669333333333334
Reach 2,R2_2,6,2.3333333333333335,0.9734666666666666
Reach 2,R2_3,6,2.6666666666666665,0.9669333333333334
Reach 2,R2_4,6,3.0,0.9604653333333332
Reach 3,R3_1,6,2.8333333333333335,0.9637973333333334
Reach 3,R3_2,6,2.8333333333333335,0.9636666666666667
