Task Set,Task ID,Successes x/29,Avg Steps,Avg Discounted Return
Reach,R_1,20,4.35,0.6447783938206896
Reach,R_2,29,4.689655172413793,0.928406095448276
Reach,R_3,29,7.413793103448276,0.8787207367596708
Avoid 2,A2_1,29,4.241379310344827,0.9372686634129215
Avoid 2,A2_2,29,2.689655172413793,0.9666868965517244
Avoid 2,A2_3,28,3.392857142857143,0.9204923025677243
Avoid 2,A2_4,26,1.5,0.8876411034482758
Avoid 2,A2_5,22,2.8636363636363638,0.7308772743724139
Avoid 2,A2_6,29,2.5172413793103448,0.9702281764413795
Avoid 3,A3_1,22,2.8181818181818183,0.7315531364413795
Avoid 3,A3_2,22,3.590909090909091,0.720525607741749
Avoid 3,A3_3,26,2.9615384615384617,0.8620618316137934
Avoid 3,A3_4,22,2.8181818181818183,0.7315531364413795
Avoid 4,A4_1,22,2.8636363636363638,0.7308772743724139
Avoid 4,A4_2,25,2.32,0.8397194812689657
Avoid 4,A4_3,29,1.5517241379310345,0.9890068965517241
Avoid 4,A4_4,25,2.6,0.8350014123034485
Avoid 4,A4_5,25,1.68,0.8504273103448277
Avoid 5,A5_1,21,2.857142857142857,0.6977600329931035
Avoid 5,A5_2,22,2.8181818181818183,0.7315531364413795
Avoid 5,A5_3,19,1.9473684210526316,0.6428548965517241
Avoid 5,A5_4,3,1.0,0.10344827586206896
Avoid 5,A5_5,1,3.0,0.03311724137931034
Avoid 5,A5_6,22,2.8181818181818183,0.7315531364413795
Reach Avoid General,RA_1,29,3.6551724137931036,0.948161527724138
Reach Avoid General,RA_2,29,3.5517241379310347,0.9503759817975173
Reach Avoid General,RA_3,29,3.689655172413793,0.9474583550918622
Reach Avoid General,RA_4,29,2.8275862068965516,0.9641164687448278
Reach Avoid General,RA_5,29,3.1724137931034484,0.9572364248275863
Reach Avoid General,RA_6,29,2.896551724137931,0.9628604578206897
Reach Avoid General,RA_7,25,3.8,0.8150948402780691
Reach Avoid X and not Y,RXNY_1,29,1.5517241379310345,0.9890068965517241
Reach Avoid X and not Y,RXNY_2,29,1.5517241379310345,0.988993103448276
Reach Avoid X and not Y,RXNY_3,22,2.8636363636363638,0.7308772743724139
Reach Avoid X and not Y,RXNY_4,26,1.8461538461538463,0.8815031724137932
Reach Avoid X and not Y,RXNY_5,24,2.625,0.8012083088551725
