Task Set,Task ID,Accepting visits
Reach infinite training,RIT_1,91.27586206896552
Reach infinite training,RIT_2,95.20689655172414
Reach infinite training,RIT_3,92.41379310344827
Reach infinite training,RIT_4,96.3103448275862
Reach infinite training,RIT_5,0.0
Reach infinite training,RIT_6,95.10344827586206
Reach infinite training,RIT_7,92.93103448275862
Reach infinite training,RIT_8,0.0
Reach infinite training,RIT_9,0.0
Reach infinite training,RIT_10,93.34482758620689
Reach avoid always eventually,RAE_1,30.24137931034483
Reach avoid always eventually,RAE_2,47.241379310344826
Reach avoid always eventually,RAE_3,68.79310344827586
Reach avoid always eventually,RAE_4,32.37931034482759
Reach stay infinite,RSI_1,41.58620689655172
Reach stay infinite,RSI_2,0.0
Reach stay infinite,RSI_3,96.17241379310344
Reach stay infinite,RSI_4,40.37931034482759
Reach stay infinite,RSI_5,96.17241379310344
