Task Set,Task ID,Successes x/29,Avg Steps,Avg Discounted Return
Reach,R_1,29,4.0,0.9414172080551724
Reach,R_2,29,5.137931034482759,0.9200054541285517
Reach,R_3,29,7.482758620689655,0.8775505278445972
Avoid 2,A2_1,8,2.375,0.26838510896551726
Avoid 2,A2_2,2,2.0,0.0676
Avoid 2,A2_3,14,3.4285714285714284,0.4598819805793103
Avoid 2,A2_4,22,2.0454545454545454,0.7429506206896552
Avoid 2,A2_5,6,1.6666666666666667,0.20415172413793103
Avoid 2,A2_6,23,2.652173913043478,0.7672397241379311
Avoid 3,A3_1,0,,0.0
Avoid 3,A3_2,12,4.166666666666667,0.38841123719062065
Avoid 3,A3_3,23,3.130434782608696,0.759858488275862
Avoid 3,A3_4,1,1.0,0.034482758620689655
Avoid 4,A4_1,8,1.875,0.2710620689655172
Avoid 4,A4_2,14,2.5,0.4685216662068966
Avoid 4,A4_3,29,1.793103448275862,0.9842344827586208
Avoid 4,A4_4,11,2.3636363636363638,0.3691837351724138
Avoid 4,A4_5,21,1.9523809523809523,0.7105095172413793
Avoid 5,A5_1,6,2.5,0.20078565517241379
Avoid 5,A5_2,6,2.5,0.20078565517241379
Avoid 5,A5_3,1,1.0,0.034482758620689655
Avoid 5,A5_4,2,1.5,0.06827586206896552
Avoid 5,A5_5,0,,0.0
Avoid 5,A5_6,1,1.0,0.034482758620689655
Reach Avoid General,RA_1,29,5.586206896551724,0.9123368929115824
Reach Avoid General,RA_2,14,9.5,0.4073433684238255
Reach Avoid General,RA_3,23,3.3043478260869565,0.7571542179310345
Reach Avoid General,RA_4,26,2.8461538461538463,0.8639677516137931
Reach Avoid General,RA_5,29,3.1724137931034484,0.9571964137931035
Reach Avoid General,RA_6,4,3.25,0.13186069517241378
Reach Avoid General,RA_7,8,3.375,0.2630441709241379
Reach Avoid X and not Y,RXNY_1,28,1.7857142857142858,0.9504275862068966
Reach Avoid X and not Y,RXNY_2,29,1.7586206896551724,0.9849376551724138
Reach Avoid X and not Y,RXNY_3,6,1.6666666666666667,0.20415172413793103
Reach Avoid X and not Y,RXNY_4,25,2.04,0.844343724137931
Reach Avoid X and not Y,RXNY_5,4,1.25,0.13724137931034483
