Task Set,Task ID,Successes x/29,Avg Steps,Avg Discounted Return
Reach,R_1,27,5.074074074074074,0.8580881693133331
Reach,R_2,29,4.448275862068965,0.9331336957969214
Reach,R_3,29,7.827586206896552,0.8719798179598269
Avoid 2,A2_1,23,4.086956521739131,0.7457993508589903
Avoid 2,A2_2,28,3.1785714285714284,0.9242405902344828
Avoid 2,A2_3,10,2.3,0.3359718620689655
Avoid 2,A2_4,29,1.6551724137931034,0.9869928275862069
Avoid 2,A2_5,23,2.739130434782609,0.7660223778206897
Avoid 2,A2_6,28,2.857142857142857,0.9303247226482759
Avoid 3,A3_1,19,3.473684210526316,0.6234941349517242
Avoid 3,A3_2,17,3.5294117647058822,0.5575090230245077
Avoid 3,A3_3,25,3.16,0.8255376936827585
Avoid 3,A3_4,21,3.4285714285714284,0.6897286177103448
Avoid 4,A4_1,20,2.9,0.6639669295448275
Avoid 4,A4_2,19,2.4210526315789473,0.6368529710344827
Avoid 4,A4_3,24,1.625,0.8173100689655172
Avoid 4,A4_4,22,2.8181818181818183,0.7315531364413793
Avoid 4,A4_5,26,1.6923076923076923,0.8842342068965517
Avoid 5,A5_1,20,2.9,0.6639669295448275
Avoid 5,A5_2,18,3.111111111111111,0.5950014123034483
Avoid 5,A5_3,9,2.111111111111111,0.3035169655172414
Avoid 5,A5_4,8,2.25,0.26906151724137933
Avoid 5,A5_5,2,1.0,0.06896551724137931
Avoid 5,A5_6,19,3.210526315789474,0.6268072109241379
Reach Avoid General,RA_1,29,3.7241379310344827,0.9469539831348525
Reach Avoid General,RA_2,21,3.238095238095238,0.6923793488551723
Reach Avoid General,RA_3,13,3.230769230769231,0.42861766620689656
Reach Avoid General,RA_4,29,3.2413793103448274,0.9561250861263448
Reach Avoid General,RA_5,27,3.4814814814814814,0.8857672875056551
Reach Avoid General,RA_6,22,2.8181818181818183,0.7314455227586207
Reach Avoid General,RA_7,14,3.4285714285714284,0.45978734885517236
Reach Avoid X and not Y,RXNY_1,18,1.6111111111111112,0.6131583448275862
Reach Avoid X and not Y,RXNY_2,12,1.9166666666666667,0.4062755862068965
Reach Avoid X and not Y,RXNY_3,23,2.739130434782609,0.7660223778206897
Reach Avoid X and not Y,RXNY_4,20,1.8,0.6787031724137931
Reach Avoid X and not Y,RXNY_5,9,1.4444444444444444,0.30760000000000004
