Task Set,Task ID,Successes x/29,Avg Steps,Avg Discounted Return
Reach,R_1,29,3.586206896551724,0.949419431064276
Reach,R_2,29,4.724137931034483,0.9277816631326455
Reach,R_3,29,6.275862068965517,0.8992247549125303
Avoid 2,A2_1,24,3.7083333333333335,0.7840871754085076
Avoid 2,A2_2,26,2.769230769230769,0.8652935227586207
Avoid 2,A2_3,25,3.04,0.8276453345125517
Avoid 2,A2_4,29,1.5172413793103448,0.9897376551724139
Avoid 2,A2_5,23,2.5217391304347827,0.7693614067862069
Avoid 2,A2_6,27,2.2962962962962963,0.9072654067862068
Avoid 3,A3_1,17,2.823529411764706,0.5652234757517242
Avoid 3,A3_2,17,4.0,0.55241992613482
Avoid 3,A3_3,21,2.8095238095238093,0.698368303337931
Avoid 3,A3_4,21,2.6666666666666665,0.7003958895448277
Avoid 4,A4_1,19,2.6315789473684212,0.6341889929931035
Avoid 4,A4_2,20,2.55,0.6686717516137931
Avoid 4,A4_3,21,1.6666666666666667,0.7145790344827587
Avoid 4,A4_4,23,2.391304347826087,0.7714303723034482
Avoid 4,A4_5,16,1.75,0.5435031724137931
Avoid 5,A5_1,19,2.6315789473684212,0.6341889929931035
Avoid 5,A5_2,17,2.823529411764706,0.5652234757517242
Avoid 5,A5_3,18,1.8333333333333333,0.610440827586207
Avoid 5,A5_4,11,2.272727272727273,0.3698060689655172
Avoid 5,A5_5,2,1.0,0.06896551724137931
Avoid 5,A5_6,17,2.823529411764706,0.5652234757517242
Reach Avoid General,RA_1,29,2.7241379310344827,0.9660367171310343
Reach Avoid General,RA_2,22,2.8636363636363638,0.7308096826482758
Reach Avoid General,RA_3,25,3.24,0.8241697538228966
Reach Avoid General,RA_4,29,2.7241379310344827,0.9660367171310343
Reach Avoid General,RA_5,29,3.0344827586206895,0.9598852688551723
Reach Avoid General,RA_6,26,2.576923076923077,0.8687131309241379
Reach Avoid General,RA_7,23,3.391304347826087,0.7560017648573794
Reach Avoid X and not Y,RXNY_1,8,1.0,0.27586206896551724
Reach Avoid X and not Y,RXNY_2,6,1.3333333333333333,0.2055310344827586
Reach Avoid X and not Y,RXNY_3,23,2.5217391304347827,0.7693614067862069
Reach Avoid X and not Y,RXNY_4,5,1.0,0.1724137931034483
Reach Avoid X and not Y,RXNY_5,21,2.4285714285714284,0.7038441654068965
