Task Set,Task ID,Accepting visits
Reach infinite training,RIT_1,52.3448275862069
Reach infinite training,RIT_2,96.27586206896552
Reach infinite training,RIT_3,96.44827586206897
Reach infinite training,RIT_4,96.44827586206897
Reach infinite training,RIT_5,92.17241379310344
Reach infinite training,RIT_6,96.3103448275862
Reach infinite training,RIT_7,95.37931034482759
Reach infinite training,RIT_8,96.55172413793103
Reach infinite training,RIT_9,91.44827586206897
Reach infinite training,RIT_10,96.44827586206897
Reach avoid always eventually,RAE_1,36.62068965517241
Reach avoid always eventually,RAE_2,72.55172413793103
Reach avoid always eventually,RAE_3,7.896551724137931
Reach avoid always eventually,RAE_4,56.275862068965516
Reach stay infinite,RSI_1,0.0
Reach stay infinite,RSI_2,0.6551724137931034
Reach stay infinite,RSI_3,96.3103448275862
Reach stay infinite,RSI_4,90.17241379310344
Reach stay infinite,RSI_5,96.3103448275862
