Task Set,Task ID,Successes x/29,Avg Steps,Avg Discounted Return
Reach,R_1,29,3.896551724137931,0.9433788193103448
Reach,R_2,29,5.0344827586206895,0.9219275682206897
Reach,R_3,29,7.758620689655173,0.8727075313569503
Avoid 2,A2_1,8,2.5,0.26766868965517243
Avoid 2,A2_2,2,2.0,0.0676
Avoid 2,A2_3,6,1.8333333333333333,0.20346206896551722
Avoid 2,A2_4,19,5.473684210526316,0.5992990132319822
Avoid 2,A2_5,5,3.4,0.16430179862068964
Avoid 3,A3_1,14,4.142857142857143,0.4533366781793103
Avoid 3,A3_2,11,2.909090909090909,0.36507393655172404
Avoid 3,A3_3,24,4.0,0.7793290416573794
Avoid 3,A3_4,19,3.789473684210526,0.619612264386207
Avoid 4,A4_1,2,1.0,0.06896551724137931
Avoid 4,A4_2,9,1.6666666666666667,0.30622068965517246
Avoid 4,A4_3,29,2.1724137931034484,0.9768662179310346
Avoid 4,A4_4,18,3.5,0.5905780574896553
Avoid 4,A4_5,25,2.0,0.8450060689655172
Avoid 5,A4_1,3,1.3333333333333333,0.10275862068965518
Avoid 5,A4_2,15,4.0,0.4871297816275862
Avoid 5,A4_3,10,2.6,0.333944
Avoid 5,A4_4,6,2.1666666666666665,0.20212386206896552
Avoid 5,A4_5,0,,0.0
Avoid 5,A4_6,14,4.142857142857143,0.4533366781793103
Reach Avoid General,RA_1,29,3.310344827586207,0.9547081819586206
Reach Avoid General,RA_2,25,2.2,0.8416805572413792
Reach Avoid General,RA_3,19,3.789473684210526,0.619612264386207
Reach Avoid General,RA_4,11,3.1818181818181817,0.3631936992
Reach Avoid General,RA_5,29,5.448275862068965,0.9146146239623062
Reach Avoid General,RA_6,22,3.5,0.7216009265655173
Reach Avoid General,RA_7,19,4.631578947368421,0.6091816196479999
Reach Avoid X and not Y,RXNY_1,24,3.9166666666666665,0.7806672485539311
Reach Avoid X and not Y,RXNY_2,12,2.5833333333333335,0.40094844126896545
Reach Avoid X and not Y,RXNY_3,16,2.0,0.5407859310344827
Reach Avoid X and not Y,RXNY_4,26,2.423076923076923,0.8714847226482758
Reach Avoid X and not Y,RXNY_5,12,1.0833333333333333,0.4131034482758621
