Task Set,Task ID,Successes x/29,Avg Steps,Avg Discounted Return
Reach,R_1,29,3.5517241379310347,0.9500552820987587
Reach,R_2,29,3.9310344827586206,0.9428738583194483
Reach,R_3,29,7.586206896551724,0.8762279696240639
Avoid 2,A2_1,24,4.75,0.7678127624960001
Avoid 2,A2_2,29,3.0344827586206895,0.9601021129931034
Avoid 2,A2_3,26,3.6538461538461537,0.8501220572711725
Avoid 2,A2_4,29,1.4137931034482758,0.9917652413793104
Avoid 2,A2_5,24,3.0833333333333335,0.7939473873655172
Avoid 2,A2_6,29,2.6206896551724137,0.9681467860965517
Avoid 3,A3_1,20,3.3,0.658733870124138
Avoid 3,A3_2,18,4.333333333333333,0.5807692219674482
Avoid 3,A3_3,28,3.107142857142857,0.925633147475862
Avoid 3,A3_4,22,3.1818181818181817,0.7263200770206896
Avoid 4,A4_1,23,3.1739130434782608,0.7594646287448276
Avoid 4,A4_2,24,2.625,0.8012221019586206
Avoid 4,A4_3,29,1.6206896551724137,0.9876686896551724
Avoid 4,A4_4,24,3.0,0.7952855942620689
Avoid 4,A4_5,29,1.5517241379310345,0.9890066206896552
Avoid 5,A5_1,23,3.0434782608695654,0.7614394978206898
Avoid 5,A5_2,21,3.3333333333333335,0.6911887666758622
Avoid 5,A5_3,17,1.9411764705882353,0.5753095172413794
Avoid 5,A5_4,18,3.6666666666666665,0.588455839340138
Avoid 5,A5_5,4,1.5,0.1365655172413793
Avoid 5,A5_6,21,3.3333333333333335,0.6911887666758622
Reach Avoid General,RA_1,29,2.9310344827586206,0.9621161819586207
Reach Avoid General,RA_2,26,3.269230769230769,0.8567354978206898
Reach Avoid General,RA_3,22,2.8181818181818183,0.7313773793103449
Reach Avoid General,RA_4,29,3.0,0.9607644578206896
Reach Avoid General,RA_5,28,3.4285714285714284,0.919520915202207
Reach Avoid General,RA_6,26,3.269230769230769,0.8567354978206898
Reach Avoid General,RA_7,24,4.125,0.7774577734774732
Reach Avoid X and not Y,RXNY_1,29,1.5172413793103448,0.9897376551724139
Reach Avoid X and not Y,RXNY_2,29,1.4827586206896552,0.9903997241379311
Reach Avoid X and not Y,RXNY_3,24,3.0833333333333335,0.7939473873655172
Reach Avoid X and not Y,RXNY_4,27,1.4444444444444444,0.9228135172413793
Reach Avoid X and not Y,RXNY_5,23,3.0434782608695654,0.7615963782774732
