Task Set,Task ID,Successes x/29,Avg Steps,Avg Discounted Return
Reach,R_1,29,6.862068965517241,0.8891921196145653
Reach,R_2,29,6.620689655172414,0.8934161668774017
Reach,R_3,0,,0.0
Avoid 2,A2_1,5,3.8,0.16300306747586205
Avoid 2,A2_2,1,2.0,0.03379310344827586
Avoid 2,A2_3,5,2.8,0.16632966068965516
Avoid 2,A2_4,21,1.7142857142857142,0.7138617931034483
Avoid 2,A2_5,14,2.5714285714285716,0.46789934333793104
Avoid 2,A2_6,3,1.0,0.10344827586206896
Avoid 3,A3_1,5,2.8,0.16628937931034482
Avoid 3,A3_2,6,2.6666666666666665,0.20008248275862067
Avoid 3,A3_3,1,1.0,0.034482758620689655
Avoid 3,A3_4,1,1.0,0.034482758620689655
Avoid 4,A4_1,14,2.5714285714285716,0.46789934333793104
Avoid 4,A4_2,13,2.6153846153846154,0.4341062398896552
Avoid 4,A4_3,29,1.9655172413793103,0.9808411034482759
Avoid 4,A4_4,17,2.823529411764706,0.5652232054068966
Avoid 4,A4_5,21,1.7142857142857142,0.7138617931034483
Avoid 5,A5_1,18,2.5555555555555554,0.6016402758620688
Avoid 5,A5_2,27,3.7777777777777777,0.8806818637263448
Avoid 5,A5_3,0,,0.0
Avoid 5,A5_4,2,1.5,0.06827586206896552
Avoid 5,A5_5,6,1.8333333333333333,0.20346206896551722
Avoid 5,A5_6,5,2.8,0.16628937931034482
Reach Avoid General,RA_1,8,3.125,0.26434317793103446
Reach Avoid General,RA_2,9,2.2222222222222223,0.30284110344827586
Reach Avoid General,RA_3,3,3.3333333333333335,0.09871614344827585
Reach Avoid General,RA_4,5,2.4,0.16764110344827585
Reach Avoid General,RA_5,24,4.25,0.775115663337931
Reach Avoid General,RA_6,14,3.5,0.4592596577103448
Reach Avoid General,RA_7,27,4.666666666666667,0.8650555312794042
Reach Avoid X and not Y,RXNY_1,28,1.9285714285714286,0.9477100689655173
Reach Avoid X and not Y,RXNY_2,26,1.5384615384615385,0.8869790344827586
Reach Avoid X and not Y,RXNY_3,14,2.5714285714285716,0.46789934333793104
Reach Avoid X and not Y,RXNY_4,11,1.6363636363636365,0.3745376551724138
Reach Avoid X and not Y,RXNY_5,17,2.823529411764706,0.5652232054068966
