Task Set,Task ID,Successes x/29,Avg Steps,Avg Discounted Return
Reach,R_1,29,3.793103448275862,0.9453261131034484
Reach,R_2,29,4.206896551724138,0.9374301517241379
Reach,R_3,29,7.482758620689655,0.8777617945837309
Avoid 2,A2_1,27,4.814814814814815,0.8624578573703503
Avoid 2,A2_2,29,3.206896551724138,0.9565613793103449
Avoid 2,A2_3,27,3.8518518518518516,0.8793553083652415
Avoid 2,A2_4,29,1.5517241379310345,0.9891026206896553
Avoid 2,A2_5,23,3.0869565217391304,0.7607214617379311
Avoid 2,A2_6,27,3.111111111111111,0.8926078286344827
Avoid 3,A3_1,20,3.85,0.6513377596689655
Avoid 3,A3_2,17,3.8823529411764706,0.553555888266902
Avoid 3,A3_3,24,3.5416666666666665,0.7864166341517241
Avoid 3,A3_4,20,3.85,0.6513377596689655
Avoid 4,A4_1,23,3.0869565217391304,0.7607214617379311
Avoid 4,A4_2,23,3.130434782608696,0.760125345875862
Avoid 4,A4_3,29,1.8275862068965518,0.9835172413793103
Avoid 4,A4_4,23,3.5217391304347827,0.7540963803586207
Avoid 4,A4_5,29,1.5517241379310345,0.9891026206896553
Avoid 5,A5_1,20,3.85,0.6513377596689655
Avoid 5,A5_2,20,3.85,0.6513377596689655
Avoid 5,A5_3,21,2.5714285714285716,0.7016948965517241
Avoid 5,A5_4,17,3.764705882352941,0.5547130738824827
Avoid 5,A5_5,21,4.761904761904762,0.6717963254245517
Avoid 5,A5_6,20,3.85,0.6513377596689655
Reach Avoid General,RA_1,29,3.206896551724138,0.9565613793103449
Reach Avoid General,RA_2,20,3.85,0.6513377596689655
Reach Avoid General,RA_3,27,3.814814814814815,0.879975749523862
Reach Avoid General,RA_4,29,3.206896551724138,0.9565613793103449
Reach Avoid General,RA_5,29,3.3793103448275863,0.9532215337931035
Reach Avoid General,RA_6,22,3.727272727272727,0.7182481044965516
Reach Avoid General,RA_7,23,4.391304347826087,0.7410014872342068
Reach Avoid X and not Y,RXNY_1,28,2.0357142857142856,0.9456137931034483
Reach Avoid X and not Y,RXNY_2,28,1.5357142857142858,0.9552137931034482
Reach Avoid X and not Y,RXNY_3,23,3.0869565217391304,0.7607214617379311
Reach Avoid X and not Y,RXNY_4,29,1.5862068965517242,0.9884129655172413
Reach Avoid X and not Y,RXNY_5,23,3.5217391304347827,0.7540963803586207
