Task Set,Task ID,Accepting visits
Reach infinite training,RIT_1,93.82758620689656
Reach infinite training,RIT_2,84.24137931034483
Reach infinite training,RIT_3,91.48275862068965
Reach infinite training,RIT_4,87.72413793103448
Reach infinite training,RIT_5,66.06896551724138
Reach infinite training,RIT_6,93.75862068965517
Reach infinite training,RIT_7,90.10344827586206
Reach infinite training,RIT_8,79.96551724137932
Reach infinite training,RIT_9,89.24137931034483
Reach infinite training,RIT_10,83.13793103448276
Reach avoid always eventually,RAE_1,28.20689655172414
Reach avoid always eventually,RAE_2,49.93103448275862
Reach avoid always eventually,RAE_3,74.65517241379311
Reach avoid always eventually,RAE_4,41.724137931034484
Reach stay infinite,RSI_1,96.17241379310344
Reach stay infinite,RSI_2,4.551724137931035
Reach stay infinite,RSI_3,93.34482758620689
Reach stay infinite,RSI_4,77.75862068965517
Reach stay infinite,RSI_5,93.34482758620689
