Task Set,Task ID,Accepting visits
Reach infinite training,RIT_1,95.62068965517241
Reach infinite training,RIT_2,88.27586206896552
Reach infinite training,RIT_3,90.65517241379311
Reach infinite training,RIT_4,81.06896551724138
Reach infinite training,RIT_5,4.862068965517241
Reach infinite training,RIT_6,77.75862068965517
Reach infinite training,RIT_7,53.37931034482759
Reach infinite training,RIT_8,95.93103448275862
Reach infinite training,RIT_9,95.6896551724138
Reach infinite training,RIT_10,89.6896551724138
Reach avoid always eventually,RAE_1,19.413793103448278
Reach avoid always eventually,RAE_2,48.93103448275862
Reach avoid always eventually,RAE_3,46.10344827586207
Reach avoid always eventually,RAE_4,0.7586206896551724
Reach stay infinite,RSI_1,81.62068965517241
Reach stay infinite,RSI_2,0.0
Reach stay infinite,RSI_3,89.20689655172414
Reach stay infinite,RSI_4,0.41379310344827586
Reach stay infinite,RSI_5,89.20689655172414
