Task Set,Task ID,Successes x/29,Avg Steps,Avg Discounted Return
Reach,R_1,29,3.896551724137931,0.9434177651862069
Reach,R_2,29,4.689655172413793,0.9284593533793103
Reach,R_3,28,8.571428571428571,0.8292828181281664
Avoid 2,A2_1,25,4.6,0.8024170293705297
Avoid 2,A2_2,29,3.5517241379310347,0.9500825817379311
Avoid 2,A2_3,29,4.172413793103448,0.9384338173903448
Avoid 2,A2_4,29,1.7241379310344827,0.9856543448275862
Avoid 2,A2_5,27,3.740740740740741,0.8813325568000001
Avoid 2,A2_6,29,3.0344827586206895,0.960114013462069
Avoid 3,A3_1,24,4.375,0.7733543939310346
Avoid 3,A3_2,22,5.090909090909091,0.6989911758741187
Avoid 3,A3_3,27,3.7037037037037037,0.8818740410482759
Avoid 3,A3_4,25,4.28,0.8071474973793105
Avoid 4,A4_1,26,3.8076923076923075,0.8475394533517242
Avoid 4,A4_2,27,3.259259259259259,0.8899449320827588
Avoid 4,A4_3,29,2.1379310344827585,0.9774747586206897
Avoid 4,A4_4,27,3.3703703703703702,0.8880914697931035
Avoid 4,A4_5,29,1.6896551724137931,0.986344
Avoid 5,A5_1,26,3.8076923076923075,0.8475394533517242
Avoid 5,A5_2,24,4.0,0.7792100520827586
Avoid 5,A5_3,18,3.1666666666666665,0.5943125682758621
Avoid 5,A5_4,27,4.333333333333333,0.8709403495834482
Avoid 5,A5_5,25,4.84,0.798591470622764
Avoid 5,A5_6,24,4.041666666666667,0.7785739361103448
Reach Avoid General,RA_1,29,3.310344827586207,0.9546140855172415
Reach Avoid General,RA_2,26,4.0,0.8441198451862069
Reach Avoid General,RA_3,29,3.793103448275862,0.9455086766411035
Reach Avoid General,RA_4,29,3.6206896551724137,0.948705699310345
Reach Avoid General,RA_5,28,3.7142857142857144,0.9143252118135172
Reach Avoid General,RA_6,26,3.923076923076923,0.8454842809379312
Reach Avoid General,RA_7,25,4.6,0.8019764167790345
Reach Avoid X and not Y,RXNY_1,28,2.1785714285714284,0.942992
Reach Avoid X and not Y,RXNY_2,29,1.6896551724137931,0.9862620689655173
Reach Avoid X and not Y,RXNY_3,27,3.740740740740741,0.8813325568000001
Reach Avoid X and not Y,RXNY_4,25,1.92,0.8463715862068966
Reach Avoid X and not Y,RXNY_5,27,3.7037037037037037,0.8819686727724139
