Task Set,Task ID,Accepting visits
Reach infinite training,RIT_1,94.3103448275862
Reach infinite training,RIT_2,93.48275862068965
Reach infinite training,RIT_3,95.13793103448276
Reach infinite training,RIT_4,95.58620689655173
Reach infinite training,RIT_5,95.37931034482759
Reach infinite training,RIT_6,84.37931034482759
Reach infinite training,RIT_7,84.06896551724138
Reach infinite training,RIT_8,95.41379310344827
Reach infinite training,RIT_9,95.6896551724138
Reach infinite training,RIT_10,95.65517241379311
Reach avoid always eventually,RAE_1,44.03448275862069
Reach avoid always eventually,RAE_2,41.275862068965516
Reach avoid always eventually,RAE_3,46.3448275862069
Reach avoid always eventually,RAE_4,48.793103448275865
Reach stay infinite,RSI_1,4.068965517241379
Reach stay infinite,RSI_2,87.93103448275862
Reach stay infinite,RSI_3,94.96551724137932
Reach stay infinite,RSI_4,93.37931034482759
Reach stay infinite,RSI_5,94.96551724137932
