Task Set,Task ID,Successes x/29,Avg Steps,Avg Discounted Return
Reach,R_1,29,3.793103448275862,0.9453793710344828
Reach,R_2,29,4.896551724137931,0.9244979960275863
Reach,R_3,29,6.068965517241379,0.9030170342792396
Avoid 2,A2_1,6,2.1666666666666665,0.2020965517241379
Avoid 2,A2_2,27,3.111111111111111,0.8923415172413793
Avoid 2,A2_3,4,1.5,0.13655172413793104
Avoid 2,A2_4,10,7.2,0.30457903532408936
Avoid 2,A2_5,19,3.6842105263157894,0.6207238896551723
Avoid 3,A3_1,1,1.0,0.034482758620689655
Avoid 3,A3_2,3,1.3333333333333333,0.10275862068965518
Avoid 3,A3_3,23,4.478260869565218,0.7395345263448276
Avoid 3,A3_4,1,1.0,0.034482758620689655
Reach Avoid General,RA_1,29,2.9655172413793105,0.9613062124137931
Reach Avoid General,RA_2,23,1.6956521739130435,0.7821376551724138
Reach Avoid General,RA_3,14,2.7142857142857144,0.4664537931034482
Reach Avoid General,RA_4,20,2.4,0.6705920000000001
Reach Avoid General,RA_5,28,3.607142857142857,0.9161699641379311
Reach Avoid General,RA_6,7,2.2857142857142856,0.23525462068965516
Reach Avoid General,RA_7,16,3.0625,0.529334631724138
