Task Set,Task ID,Accepting visits
Reach infinite training,RIT_1,97.06896551724138
Reach infinite training,RIT_2,93.37931034482759
Reach infinite training,RIT_3,85.27586206896552
Reach infinite training,RIT_4,18.586206896551722
Reach infinite training,RIT_5,90.10344827586206
Reach infinite training,RIT_6,97.10344827586206
Reach infinite training,RIT_7,79.03448275862068
Reach infinite training,RIT_8,74.79310344827586
Reach infinite training,RIT_9,96.17241379310344
Reach infinite training,RIT_10,54.0
Reach avoid always eventually,RAE_1,18.79310344827586
Reach avoid always eventually,RAE_2,46.41379310344828
Reach avoid always eventually,RAE_3,36.03448275862069
Reach avoid always eventually,RAE_4,15.241379310344827
Reach stay infinite,RSI_1,94.20689655172414
Reach stay infinite,RSI_2,3.9655172413793105
Reach stay infinite,RSI_3,93.48275862068965
Reach stay infinite,RSI_4,95.86206896551724
Reach stay infinite,RSI_5,93.48275862068965
