Task Set,Task ID,Successes x/29,Avg Steps,Avg Discounted Return
Reach,R_1,29,3.793103448275862,0.9454188521931034
Reach,R_2,29,4.896551724137931,0.9244979960275863
Reach,R_3,29,5.758620689655173,0.9086672760892469
Avoid 2,A2_1,27,4.703703703703703,0.8647504147067144
Avoid 2,A2_2,28,3.0357142857142856,0.9268104827586208
Avoid 2,A2_3,4,1.5,0.13655172413793104
Avoid 2,A2_4,23,5.782608695652174,0.7213555903135176
Avoid 2,A2_5,27,3.4814814814814814,0.8857023724137932
Avoid 3,A3_1,11,3.272727272727273,0.36243672264827587
Avoid 3,A3_2,13,2.4615384615384617,0.43533710344827586
Avoid 3,A3_3,25,3.2,0.8247682813793102
Avoid 3,A3_4,22,3.090909090909091,0.7274438731034484
Avoid 4,A4_1,8,1.75,0.27175172413793103
Avoid 4,A4_2,16,2.5,0.5354458041379311
Avoid 4,A4_3,20,1.7,0.6800551724137931
Avoid 4,A4_4,13,2.0,0.43942013793103446
Avoid 4,A4_5,26,1.6538461538461537,0.8848827586206897
Avoid 5,A4_1,5,2.8,0.16630289655172412
Avoid 5,A4_2,6,2.5,0.20078565517241379
Avoid 5,A4_3,10,2.1,0.33729655172413797
Avoid 5,A4_4,2,1.0,0.06896551724137931
Avoid 5,A4_5,7,2.0,0.23657931034482757
Avoid 5,A4_6,6,2.5,0.20078565517241379
Reach Avoid General,RA_1,29,3.5517241379310347,0.9502834697931035
Reach Avoid General,RA_2,26,1.7692307692307692,0.8828411034482759
Reach Avoid General,RA_3,24,2.9166666666666665,0.7964886121931035
Reach Avoid General,RA_4,27,2.5925925925925926,0.9018046896551725
Reach Avoid General,RA_5,29,3.2413793103448274,0.9559249820689656
Reach Avoid General,RA_6,25,3.44,0.8211641712719844
Reach Avoid General,RA_7,17,3.2941176470588234,0.5598152054068966
Reach Avoid X and not Y,RXNY_1,27,3.074074074074074,0.8931252579310346
Reach Avoid X and not Y,RXNY_2,27,3.5925925925925926,0.8840754917517243
Reach Avoid X and not Y,RXNY_3,19,1.5789473684210527,0.6476
Reach Avoid X and not Y,RXNY_4,26,1.7692307692307692,0.8828411034482758
Reach Avoid X and not Y,RXNY_5,12,1.4166666666666667,0.41035862068965523
