Task Set,Task ID,Accepting visits
Reach infinite hard,RIH_1,97.06896551724138
Reach infinite hard,RIH_2,86.10344827586206
Reach infinite hard,RIH_3,18.896551724137932
Reach infinite hard,RIH_4,3.793103448275862
Reach infinite hard,RIH_5,93.93103448275862
Reach infinite easier,RIE_1,97.17241379310344
Reach infinite easier,RIE_2,12.10344827586207
Reach infinite easier,RIE_3,78.41379310344827
Reach infinite easier,RIE_4,97.0
Reach infinite easier,RIE_5,29.82758620689655
Reach infinite easier,RIE_6,25.379310344827587
Reach infinite easier,RIE_7,47.89655172413793
Reach avoid infinite,RAI_1,39.03448275862069
Reach avoid infinite,RAI_2,8.10344827586207
Reach avoid infinite,RAI_3,95.72413793103448
Reach avoid infinite,RAI_4,4.103448275862069
