Task Set,Task ID,Successes x/29,Avg Steps,Avg Discounted Return
Reach,R_1,29,4.793103448275862,0.9266549036314042
Reach,R_2,29,5.103448275862069,0.9208072562445693
Reach,R_3,29,8.96551724137931,0.8521019321438114
Avoid 2,A2_1,26,4.730769230769231,0.8324833404074019
Avoid 2,A2_2,27,3.2222222222222223,0.8905126668159999
Avoid 2,A2_3,25,3.76,0.8158632464727834
Avoid 2,A2_4,19,3.263157894736842,0.6262100461263448
Avoid 2,A2_5,26,4.5,0.8358962551962934
Avoid 3,A3_1,18,3.2777777777777777,0.5930928047470345
Avoid 3,A3_2,17,4.352941176470588,0.5486455108835397
Avoid 3,A3_3,25,3.28,0.8236023219884139
Avoid 3,A3_4,19,3.210526315789474,0.6268859081953103
Avoid 4,A4_1,20,3.05,0.6620583219884137
Avoid 4,A4_2,21,2.9523809523809526,0.6965410806091035
Avoid 4,A4_3,24,1.9166666666666667,0.8125238620689655
Avoid 4,A4_4,20,2.95,0.6633965288849655
Avoid 4,A4_5,25,1.56,0.8524824827586207
Avoid 5,A4_1,20,3.05,0.6620583219884137
Avoid 5,A4_2,18,3.2777777777777777,0.5930928047470345
Avoid 5,A4_3,14,2.642857142857143,0.4671429020689655
Avoid 5,A4_4,10,2.5,0.3346336551724138
Avoid 5,A4_5,5,1.6,0.17035862068965518
Avoid 5,A4_6,18,3.2777777777777777,0.5930928047470345
Reach Avoid General,RA_1,29,3.9310344827586206,0.9429865514699486
Reach Avoid General,RA_2,25,1.6,0.8517928275862069
Reach Avoid General,RA_3,21,3.0,0.6958514254366897
Reach Avoid General,RA_4,27,3.037037037037037,0.8939333564711724
Reach Avoid General,RA_5,28,3.4285714285714284,0.9195468737125517
Reach Avoid General,RA_6,22,3.3636363636363638,0.7235474254366897
Reach Avoid General,RA_7,20,4.0,0.6494795003762318
