Task Set,Task ID,Accepting visits
Reach infinite training,RIT_1,95.37931034482759
Reach infinite training,RIT_2,95.41379310344827
Reach infinite training,RIT_3,94.72413793103448
Reach infinite training,RIT_4,95.34482758620689
Reach infinite training,RIT_5,50.689655172413794
Reach infinite training,RIT_6,94.89655172413794
Reach infinite training,RIT_7,95.41379310344827
Reach infinite training,RIT_8,94.51724137931035
Reach infinite training,RIT_9,95.51724137931035
Reach infinite training,RIT_10,95.51724137931035
Reach avoid always eventually,RAE_1,32.62068965517241
Reach avoid always eventually,RAE_2,97.65517241379311
Reach avoid always eventually,RAE_3,57.58620689655172
Reach avoid always eventually,RAE_4,43.6551724137931
Reach stay infinite,RSI_1,93.62068965517241
Reach stay infinite,RSI_2,64.79310344827586
Reach stay infinite,RSI_3,95.44827586206897
Reach stay infinite,RSI_4,95.41379310344827
Reach stay infinite,RSI_5,95.44827586206897
