Task Set,Task ID,Successes x/29,Avg Steps,Avg Discounted Return
Reach,R_1,29,3.9310344827586206,0.9428481647470346
Reach,R_2,29,5.0344827586206895,0.9220041669693353
Reach,R_3,29,7.827586206896552,0.8716241093216022
Avoid 2,A2_1,28,4.678571428571429,0.8972673748762933
Avoid 2,A2_2,27,3.1481481481481484,0.8917589295448277
Avoid 2,A2_3,22,3.272727272727273,0.7248877736827587
Avoid 2,A2_4,22,3.272727272727273,0.7248342454068964
Avoid 2,A2_5,29,3.413793103448276,0.9527179137125518
Avoid 3,A3_1,18,3.111111111111111,0.5950014123034484
Avoid 3,A3_2,19,3.526315789473684,0.623081160955542
Avoid 3,A3_3,27,3.1481481481481484,0.8917589295448277
Avoid 3,A3_4,19,3.0526315789473686,0.6287945157517241
Avoid 4,A4_1,20,2.9,0.6639669295448275
Avoid 4,A4_2,22,2.409090909090909,0.7376232054068966
Avoid 4,A4_3,22,1.7727272727272727,0.7469790344827586
Avoid 4,A4_4,22,2.8181818181818183,0.7315531364413793
Avoid 4,A4_5,29,1.6896551724137931,0.9863169655172414
Avoid 5,A4_1,20,2.9,0.6639669295448275
Avoid 5,A4_2,18,3.111111111111111,0.5950014123034484
Avoid 5,A4_3,18,2.388888888888889,0.6036678620689656
Avoid 5,A4_4,19,3.3157894736842106,0.6255744654366896
Avoid 5,A4_5,2,1.0,0.06896551724137931
Avoid 5,A4_6,18,3.111111111111111,0.5950014123034484
Reach Avoid General,RA_1,29,3.0344827586206895,0.9600209985103448
Reach Avoid General,RA_2,29,1.4482758620689655,0.9911031724137931
Reach Avoid General,RA_3,22,2.8181818181818183,0.7315531364413793
Reach Avoid General,RA_4,29,2.6551724137931036,0.9674703778206897
Reach Avoid General,RA_5,29,3.413793103448276,0.9526776323332413
Reach Avoid General,RA_6,24,3.125,0.7930695502344828
Reach Avoid General,RA_7,22,3.8181818181818183,0.7169220737125518
Reach Avoid X and not Y,RXNY_1,17,3.8823529411764706,0.5533234475056552
Reach Avoid X and not Y,RXNY_2,4,2.0,0.13518620689655172
Reach Avoid X and not Y,RXNY_3,12,1.4166666666666667,0.4103586206896552
Reach Avoid X and not Y,RXNY_4,27,2.037037037037037,0.9119164137931035
Reach Avoid X and not Y,RXNY_5,8,1.0,0.27586206896551724
