Task Set,Task ID,Accepting visits
Reach infinite training,RIT_1,75.65517241379311
Reach infinite training,RIT_2,94.3103448275862
Reach infinite training,RIT_3,93.41379310344827
Reach infinite training,RIT_4,93.86206896551724
Reach infinite training,RIT_5,18.20689655172414
Reach infinite training,RIT_6,84.96551724137932
Reach infinite training,RIT_7,95.06896551724138
Reach infinite training,RIT_8,88.24137931034483
Reach infinite training,RIT_9,93.44827586206897
Reach infinite training,RIT_10,91.75862068965517
Reach avoid always eventually,RAE_1,20.79310344827586
Reach avoid always eventually,RAE_2,97.37931034482759
Reach avoid always eventually,RAE_3,65.0
Reach avoid always eventually,RAE_4,73.03448275862068
Reach stay infinite,RSI_1,73.82758620689656
Reach stay infinite,RSI_2,37.724137931034484
Reach stay infinite,RSI_3,92.41379310344827
Reach stay infinite,RSI_4,94.3103448275862
Reach stay infinite,RSI_5,92.41379310344827
