Task Set,Task ID,Avg Successes x/29,Std Successes,Avg Steps,Avg Discounted Return
Avoid 2,A2_1,18.0,0.0,3.7777777777777777,0.5873118794239118
Avoid 2,A2_2,9.0,0.0,2.7777777777777777,0.29956885506206893
Avoid 2,A2_3,14.0,0.0,7.214285714285714,0.42907773735743676
Avoid 2,A2_4,1.0,0.0,3.0,0.03311724137931034
Avoid 2,A2_5,14.0,0.0,6.214285714285714,0.4348983242225911
Avoid 2,A2_6,21.0,0.0,6.428571428571429,0.6500626646163178
Avoid 3,A3_1,3.0,0.0,15.666666666666666,0.0769338483980103
Avoid 3,A3_2,12.0,0.0,4.166666666666667,0.388747415481961
Avoid 3,A3_3,9.0,0.0,20.333333333333332,0.2179448173573618
Avoid 3,A3_4,1.0,0.0,1.0,0.034482758620689655
Avoid 4,A4_1,1.0,0.0,1.0,0.034482758620689655
Avoid 4,A4_2,1.0,0.0,2.0,0.03379310344827586
Avoid 5,A5_1,1.0,0.0,2.0,0.03379310344827586
Reach 2,R2_1,29.0,0.0,3.689655172413793,0.9475129757815173
Reach 2,R2_2,29.0,0.0,3.206896551724138,0.9566424937931035
Reach 2,R2_3,29.0,0.0,3.689655172413793,0.9475129757815173
Reach 2,R2_4,29.0,0.0,3.9655172413793105,0.9421203695448277
Reach 3,R3_1,29.0,0.0,3.7586206896551726,0.9461076962206897
Reach 3,R3_2,29.0,0.0,4.0,0.9412977102344826
Avoid Easy,AE_1,11.0,0.0,1.9090909090909092,0.3724824827586207
Avoid Easy,AE_2,26.0,0.0,2.730769230769231,0.8661164958918621
Avoid Easy,AE_4,21.0,0.0,2.619047619047619,0.7018260905610114
Avoid Easy,AE_5,20.0,0.0,9.15,0.5944315006146903
Avoid Easy,AE_6,29.0,0.0,3.586206896551724,0.9494080660965518
Avoid Easy,AE_7,14.0,0.0,2.2142857142857144,0.4711853793103449
Avoid Easy,AE_8,11.0,0.0,1.9090909090909092,0.3724824827586207
Avoid Easy,AE_9,16.0,0.0,2.3125,0.5374333793103448
