Task Set,Task ID,Avg Successes x/29,Std Successes,Avg Steps,Avg Discounted Return
Avoid 2,A2_1,7.0,0.0,2.4285714285714284,0.23453793103448276
Avoid 2,A2_2,8.0,0.0,2.75,0.2664107860965517
Avoid 2,A2_3,19.0,0.0,10.421052631578947,0.549094184378502
Avoid 2,A2_4,3.0,0.0,2.0,0.10139310344827586
Avoid 2,A2_5,23.0,0.0,10.08695652173913,0.66465956142078
Avoid 2,A2_6,29.0,0.0,6.517241379310345,0.8952998033664256
Avoid 3,A3_1,8.0,0.0,4.0,0.25990497015393105
Avoid 3,A3_2,15.0,0.0,5.533333333333333,0.47468804590166885
Avoid 3,A3_3,8.0,0.0,5.25,0.25354874071235
Avoid 3,A3_4,1.0,0.0,1.0,0.034482758620689655
Avoid 4,A4_1,14.0,0.0,3.2857142857142856,0.4613508500016111
Avoid 4,A4_2,1.0,0.0,4.0,0.032454896551724136
Avoid 5,A5_1,1.0,0.0,1.0,0.034482758620689655
Reach 2,R2_1,29.0,0.0,4.241379310344827,0.9371735707119236
Reach 2,R2_2,29.0,0.0,3.1724137931034484,0.9573048386206897
Reach 2,R2_3,29.0,0.0,4.241379310344827,0.9371735707119236
Reach 2,R2_4,29.0,0.0,4.793103448275862,0.9266400775966457
Reach 3,R3_1,29.0,0.0,4.241379310344827,0.9370041692733794
Reach 3,R3_2,29.0,0.0,5.172413793103448,0.9195599443615348
Avoid Easy,AE_1,12.0,0.0,6.166666666666667,0.3824586172706274
Avoid Easy,AE_2,18.0,0.0,2.9444444444444446,0.5970292743724138
Avoid Easy,AE_4,28.0,0.0,1.7142857142857142,0.9518068965517242
Avoid Easy,AE_5,22.0,0.0,6.363636363636363,0.6822597043292159
Avoid Easy,AE_6,29.0,0.0,4.172413793103448,0.9382096151216551
Avoid Easy,AE_7,19.0,0.0,2.8947368421052633,0.6309705487448276
Avoid Easy,AE_8,9.0,0.0,2.111111111111111,0.3035031724137931
Avoid Easy,AE_9,19.0,0.0,2.5789473684210527,0.6347977986206897
