Task Set,Task ID,Successes x/30,Avg Steps,Avg Discounted Return
Avoid 2,A2_1,28,3.75,0.8836222269930667
Avoid 2,A2_2,18,4.833333333333333,0.5563309860769483
Avoid 2,A2_3,25,5.12,0.7676128494717867
Avoid 2,A2_4,4,2.5,0.12938639999999998
Avoid 2,A2_5,26,8.538461538461538,0.7458922436908926
Avoid 2,A2_6,26,7.230769230769231,0.765115868734328
Avoid 3,A3_1,25,6.68,0.7446077507263215
Avoid 3,A3_2,0,,0.0
Avoid 3,A3_3,16,5.3125,0.4894931619522645
Avoid 3,A3_4,11,2.8181818181818183,0.3535058666666666
Avoid 4,A4_1,4,1.25,0.13266666666666665
Avoid 4,A4_2,16,7.6875,0.46676176374016964
Reach 2,R2_1,30,4.833333333333333,0.9257680168746241
Reach 2,R2_2,30,3.3666666666666667,0.95364246912
Reach 2,R2_3,30,4.833333333333333,0.9257680168746241
Reach 2,R2_4,30,5.533333333333333,0.9127163140500907
Reach 3,R3_1,30,4.866666666666666,0.9250665100842668
Reach 3,R3_2,30,4.366666666666666,0.9344420526933334
Avoid Easy,AE_1,28,3.75,0.8836222269930667
Avoid Easy,AE_2,8,1.875,0.26205306666666667
Avoid Easy,AE_4,30,2.033333333333333,0.9795722666666667
Avoid Easy,AE_5,21,6.142857142857143,0.6323378172367943
Avoid Easy,AE_6,29,5.586206896551724,0.8819704479333128
Avoid Easy,AE_7,27,5.703703703703703,0.8205746306034033
Avoid Easy,AE_8,18,3.888888888888889,0.5665736617664
Avoid Easy,AE_9,28,3.4642857142857144,0.8888960580607146
