Task Set,Task ID,Successes x/30,Avg Steps,Avg Discounted Return
Avoid 2,A2_1,27,3.4074074074074074,0.8580269792064
Avoid 2,A2_2,26,5.6923076923076925,0.78920408427836
Avoid 2,A2_3,30,5.166666666666667,0.9200502986089815
Avoid 2,A2_4,30,6.4,0.89767723831012
Avoid 2,A2_5,24,10.5,0.6625245959951315
Avoid 2,A2_6,30,5.533333333333333,0.913184083893248
Avoid 3,A3_1,24,6.833333333333333,0.7129515324251386
Avoid 3,A3_2,8,3.625,0.25297041066666665
Avoid 3,A3_3,29,6.413793103448276,0.8675571063097796
Avoid 3,A3_4,12,3.3333333333333335,0.3817293493333332
Avoid 4,A4_1,9,1.7777777777777777,0.29536
Avoid 4,A4_2,21,10.428571428571429,0.5796416438346552
Reach 2,R2_1,30,4.066666666666666,0.94002645856
Reach 2,R2_2,30,2.933333333333333,0.9619165333333334
Reach 2,R2_3,30,4.066666666666666,0.94002645856
Reach 2,R2_4,30,4.233333333333333,0.9370164524821334
Reach 3,R3_1,30,4.133333333333334,0.9388465853909334
Reach 3,R3_2,30,3.966666666666667,0.9419472585600002
Avoid Easy,AE_1,27,3.4074074074074074,0.8580269792064
Avoid Easy,AE_2,29,3.310344827586207,0.9231658437376
Avoid Easy,AE_4,30,1.7333333333333334,0.9854266666666667
Avoid Easy,AE_5,24,5.375,0.7328678902904336
Avoid Easy,AE_6,30,3.1666666666666665,0.9573165333333333
Avoid Easy,AE_7,22,5.636363636363637,0.6689161841734562
Avoid Easy,AE_8,20,3.45,0.6351488405397333
Avoid Easy,AE_9,21,3.142857142857143,0.6706453917866668
